,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
79,"Thu, Jan 12, 2023",7:00p,Oklahoma City Thunder,,Philadelphia 76ers,,,,,Wells Fargo Center,
80,"Thu, Jan 12, 2023",7:30p,Boston Celtics,,Brooklyn Nets,,,,,Barclays Center,
81,"Thu, Jan 12, 2023",7:30p,Milwaukee Bucks,,Miami Heat,,,,,FTX Arena,
82,"Thu, Jan 12, 2023",7:30p,Charlotte Hornets,,Toronto Raptors,,,,,Scotiabank Arena,
83,"Thu, Jan 12, 2023",10:00p,Dallas Mavericks,,Los Angeles Lakers,,,,,Crypto.com Arena,
84,"Thu, Jan 12, 2023",10:00p,Cleveland Cavaliers,,Portland Trail Blazers,,,,,Moda Center,
