,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
73,"Fri, Nov 11, 2022",7:00p,Denver Nuggets,112.0,Boston Celtics,131.0,Box Score,,19156.0,TD Garden,
74,"Fri, Nov 11, 2022",7:00p,Phoenix Suns,97.0,Orlando Magic,114.0,Box Score,,15879.0,Amway Center,
75,"Fri, Nov 11, 2022",7:30p,Detroit Pistons,112.0,New York Knicks,121.0,Box Score,,19812.0,Madison Square Garden (IV),
76,"Fri, Nov 11, 2022",8:00p,Toronto Raptors,113.0,Oklahoma City Thunder,132.0,Box Score,,16104.0,Paycom Center,
77,"Fri, Nov 11, 2022",8:00p,Milwaukee Bucks,93.0,San Antonio Spurs,111.0,Box Score,,15642.0,AT&T Center,
78,"Fri, Nov 11, 2022",9:30p,Minnesota Timberwolves,103.0,Memphis Grizzlies,114.0,Box Score,,16939.0,FedEx Forum,
79,"Fri, Nov 11, 2022",10:00p,Cleveland Cavaliers,101.0,Golden State Warriors,106.0,Box Score,,18064.0,Chase Center,
80,"Fri, Nov 11, 2022",10:30p,Sacramento Kings,120.0,Los Angeles Lakers,114.0,Box Score,,17849.0,Crypto.com Arena,
