,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
173,"Mon, Dec 26, 2022",7:00p,Brooklyn Nets,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
174,"Mon, Dec 26, 2022",7:00p,Los Angeles Clippers,,Detroit Pistons,,,,,Little Caesars Arena,
175,"Mon, Dec 26, 2022",7:30p,Minnesota Timberwolves,,Miami Heat,,,,,FTX Arena,
176,"Mon, Dec 26, 2022",8:00p,Houston Rockets,,Chicago Bulls,,,,,United Center,
177,"Mon, Dec 26, 2022",8:00p,Indiana Pacers,,New Orleans Pelicans,,,,,Smoothie King Center,
178,"Mon, Dec 26, 2022",8:00p,Utah Jazz,,San Antonio Spurs,,,,,AT&T Center,
179,"Mon, Dec 26, 2022",10:00p,Charlotte Hornets,,Portland Trail Blazers,,,,,Moda Center,
