,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
0,"Sat, Apr 1, 2023",7:30p,Dallas Mavericks,,Miami Heat,,,,,FTX Arena,
1,"Sat, Apr 1, 2023",8:30p,Los Angeles Clippers,,New Orleans Pelicans,,,,,Smoothie King Center,
