,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
52,"Wed, Mar 8, 2023",7:00p,Atlanta Hawks,,Washington Wizards,,,,,Capital One Arena,
53,"Wed, Mar 8, 2023",7:30p,Portland Trail Blazers,,Boston Celtics,,,,,TD Garden,
54,"Wed, Mar 8, 2023",7:30p,Cleveland Cavaliers,,Miami Heat,,,,,FTX Arena,
55,"Wed, Mar 8, 2023",7:30p,Dallas Mavericks,,New Orleans Pelicans,,,,,Smoothie King Center,
56,"Wed, Mar 8, 2023",9:00p,Chicago Bulls,,Denver Nuggets,,,,,Ball Arena,
57,"Wed, Mar 8, 2023",9:00p,Oklahoma City Thunder,,Phoenix Suns,,,,,Footprint Center,
58,"Wed, Mar 8, 2023",10:00p,Toronto Raptors,,Los Angeles Clippers,,,,,Crypto.com Arena,
