,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
9,"Thu, Feb 2, 2023",7:00p,Los Angeles Lakers,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
10,"Thu, Feb 2, 2023",7:30p,Memphis Grizzlies,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
11,"Thu, Feb 2, 2023",7:30p,Miami Heat,,New York Knicks,,,,,Madison Square Garden (IV),
12,"Thu, Feb 2, 2023",8:00p,Charlotte Hornets,,Chicago Bulls,,,,,United Center,
13,"Thu, Feb 2, 2023",8:30p,New Orleans Pelicans,,Dallas Mavericks,,,,,American Airlines Center,
14,"Thu, Feb 2, 2023",9:00p,Golden State Warriors,,Denver Nuggets,,,,,Ball Arena,
15,"Thu, Feb 2, 2023",10:00p,Los Angeles Clippers,,Milwaukee Bucks,,,,,Fiserv Forum,
