,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
71,"Sat, Mar 11, 2023",4:00p,New York Knicks,,Los Angeles Clippers,,,,,Crypto.com Arena,
72,"Sat, Mar 11, 2023",7:00p,Utah Jazz,,Charlotte Hornets,,,,,Spectrum Center,
73,"Sat, Mar 11, 2023",7:00p,Indiana Pacers,,Detroit Pistons,,,,,Little Caesars Arena,
74,"Sat, Mar 11, 2023",7:00p,Miami Heat,,Orlando Magic,,,,,Amway Center,
75,"Sat, Mar 11, 2023",7:30p,Boston Celtics,,Atlanta Hawks,,,,,State Farm Arena,
76,"Sat, Mar 11, 2023",8:00p,Chicago Bulls,,Houston Rockets,,,,,Toyota Center,
77,"Sat, Mar 11, 2023",8:00p,Dallas Mavericks,,Memphis Grizzlies,,,,,FedEx Forum,
78,"Sat, Mar 11, 2023",8:30p,Milwaukee Bucks,,Golden State Warriors,,,,,Chase Center,
79,"Sat, Mar 11, 2023",8:30p,Oklahoma City Thunder,,New Orleans Pelicans,,,,,Smoothie King Center,
80,"Sat, Mar 11, 2023",10:00p,Sacramento Kings,,Phoenix Suns,,,,,Footprint Center,
