,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
89,"Wed, Dec 14, 2022",7:00p,Detroit Pistons,,Charlotte Hornets,,,,,Spectrum Center,
90,"Wed, Dec 14, 2022",7:00p,Golden State Warriors,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
91,"Wed, Dec 14, 2022",7:00p,Atlanta Hawks,,Orlando Magic,,,,,Amway Center,
92,"Wed, Dec 14, 2022",7:30p,New York Knicks,,Chicago Bulls,,,,,United Center,
93,"Wed, Dec 14, 2022",7:30p,Sacramento Kings,,Toronto Raptors,,,,,Scotiabank Arena,
94,"Wed, Dec 14, 2022",8:00p,Miami Heat,,Oklahoma City Thunder,,,,,Paycom Center,
95,"Wed, Dec 14, 2022",8:00p,Portland Trail Blazers,,San Antonio Spurs,,,,,AT&T Center,
96,"Wed, Dec 14, 2022",9:00p,Cleveland Cavaliers,,Dallas Mavericks,,,,,American Airlines Center,
97,"Wed, Dec 14, 2022",9:00p,Washington Wizards,,Denver Nuggets,,,,,Ball Arena,
98,"Wed, Dec 14, 2022",10:00p,Minnesota Timberwolves,,Los Angeles Clippers,,,,,Crypto.com Arena,
