,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
166,"Tue, Jan 24, 2023",7:00p,Chicago Bulls,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
167,"Tue, Jan 24, 2023",7:30p,Boston Celtics,,Miami Heat,,,,,FTX Arena,
168,"Tue, Jan 24, 2023",7:30p,Cleveland Cavaliers,,New York Knicks,,,,,Madison Square Garden (IV),
169,"Tue, Jan 24, 2023",8:00p,Denver Nuggets,,New Orleans Pelicans,,,,,Smoothie King Center,
170,"Tue, Jan 24, 2023",8:30p,Washington Wizards,,Dallas Mavericks,,,,,American Airlines Center,
171,"Tue, Jan 24, 2023",9:00p,Charlotte Hornets,,Phoenix Suns,,,,,Footprint Center,
172,"Tue, Jan 24, 2023",10:00p,Los Angeles Clippers,,Los Angeles Lakers,,,,,Crypto.com Arena,
