,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
29,"Sat, Nov 5, 2022",5:00p,Sacramento Kings,126.0,Orlando Magic,123.0,Box Score,OT,18846.0,Amway Center,
30,"Sat, Nov 5, 2022",7:00p,Brooklyn Nets,98.0,Charlotte Hornets,94.0,Box Score,,19398.0,Spectrum Center,
31,"Sat, Nov 5, 2022",7:30p,New Orleans Pelicans,121.0,Atlanta Hawks,124.0,Box Score,OT,17654.0,State Farm Arena,
32,"Sat, Nov 5, 2022",7:30p,Boston Celtics,133.0,New York Knicks,118.0,Box Score,,19812.0,Madison Square Garden (IV),
33,"Sat, Nov 5, 2022",8:00p,Oklahoma City Thunder,94.0,Milwaukee Bucks,108.0,Box Score,,17713.0,Fiserv Forum,
34,"Sat, Nov 5, 2022",8:00p,Houston Rockets,117.0,Minnesota Timberwolves,129.0,Box Score,,16412.0,Target Center,
35,"Sat, Nov 5, 2022",9:00p,San Antonio Spurs,101.0,Denver Nuggets,126.0,Box Score,,19641.0,Ball Arena,
36,"Sat, Nov 5, 2022",10:00p,Portland Trail Blazers,82.0,Phoenix Suns,102.0,Box Score,,17071.0,Footprint Center,
