,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
0,"Wed, Mar 1, 2023",7:00p,Phoenix Suns,,Charlotte Hornets,,,,,Spectrum Center,
1,"Wed, Mar 1, 2023",7:00p,Chicago Bulls,,Detroit Pistons,,,,,Little Caesars Arena,
2,"Wed, Mar 1, 2023",7:30p,Cleveland Cavaliers,,Boston Celtics,,,,,TD Garden,
3,"Wed, Mar 1, 2023",7:30p,Philadelphia 76ers,,Miami Heat,,,,,FTX Arena,
4,"Wed, Mar 1, 2023",7:30p,Brooklyn Nets,,New York Knicks,,,,,Madison Square Garden (IV),
5,"Wed, Mar 1, 2023",8:00p,Memphis Grizzlies,,Houston Rockets,,,,,Toyota Center,
6,"Wed, Mar 1, 2023",8:00p,Orlando Magic,,Milwaukee Bucks,,,,,Fiserv Forum,
7,"Wed, Mar 1, 2023",8:00p,Los Angeles Lakers,,Oklahoma City Thunder,,,,,Paycom Center,
8,"Wed, Mar 1, 2023",10:00p,New Orleans Pelicans,,Portland Trail Blazers,,,,,Moda Center,
