,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
194,"Sat, Jan 28, 2023",3:00p,Denver Nuggets,,Philadelphia 76ers,,,,,Wells Fargo Center,
195,"Sat, Jan 28, 2023",5:30p,New York Knicks,,Brooklyn Nets,,,,,Barclays Center,
196,"Sat, Jan 28, 2023",7:00p,Houston Rockets,,Detroit Pistons,,,,,Little Caesars Arena,
197,"Sat, Jan 28, 2023",7:00p,Chicago Bulls,,Orlando Magic,,,,,Amway Center,
198,"Sat, Jan 28, 2023",7:30p,Los Angeles Clippers,,Atlanta Hawks,,,,,State Farm Arena,
199,"Sat, Jan 28, 2023",8:00p,Sacramento Kings,,Minnesota Timberwolves,,,,,Target Center,
200,"Sat, Jan 28, 2023",8:00p,Washington Wizards,,New Orleans Pelicans,,,,,Smoothie King Center,
201,"Sat, Jan 28, 2023",8:00p,Phoenix Suns,,San Antonio Spurs,,,,,AT&T Center,
202,"Sat, Jan 28, 2023",8:30p,Los Angeles Lakers,,Boston Celtics,,,,,TD Garden,
203,"Sat, Jan 28, 2023",9:00p,Dallas Mavericks,,Utah Jazz,,,,,Vivint Arena,
204,"Sat, Jan 28, 2023",10:00p,Toronto Raptors,,Portland Trail Blazers,,,,,Moda Center,
