,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
77,"Mon, Dec 12, 2022",7:00p,Miami Heat,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
78,"Mon, Dec 12, 2022",7:00p,Brooklyn Nets,,Washington Wizards,,,,,Capital One Arena,
79,"Mon, Dec 12, 2022",8:00p,Atlanta Hawks,,Memphis Grizzlies,,,,,FedEx Forum,
80,"Mon, Dec 12, 2022",8:30p,Oklahoma City Thunder,,Dallas Mavericks,,,,,American Airlines Center,
81,"Mon, Dec 12, 2022",8:30p,Cleveland Cavaliers,,San Antonio Spurs,,,,,AT&T Center,
82,"Mon, Dec 12, 2022",10:00p,Minnesota Timberwolves,,Portland Trail Blazers,,,,,Moda Center,
83,"Mon, Dec 12, 2022",10:30p,Boston Celtics,,Los Angeles Clippers,,,,,Crypto.com Arena,
