,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
47,"Tue, Feb 7, 2023",7:00p,New York Knicks,,Orlando Magic,,,,,Amway Center,
48,"Tue, Feb 7, 2023",7:30p,Phoenix Suns,,Brooklyn Nets,,,,,Barclays Center,
49,"Tue, Feb 7, 2023",7:30p,Atlanta Hawks,,New Orleans Pelicans,,,,,Smoothie King Center,
50,"Tue, Feb 7, 2023",8:00p,Chicago Bulls,,Memphis Grizzlies,,,,,FedEx Forum,
51,"Tue, Feb 7, 2023",10:00p,Minnesota Timberwolves,,Denver Nuggets,,,,,Ball Arena,
52,"Tue, Feb 7, 2023",10:30p,Oklahoma City Thunder,,Los Angeles Lakers,,,,,Crypto.com Arena,
