,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
13,"Fri, Mar 3, 2023",7:00p,Orlando Magic,,Charlotte Hornets,,,,,Spectrum Center,
14,"Fri, Mar 3, 2023",7:30p,Portland Trail Blazers,,Atlanta Hawks,,,,,State Farm Arena,
15,"Fri, Mar 3, 2023",7:30p,Brooklyn Nets,,Boston Celtics,,,,,TD Garden,
16,"Fri, Mar 3, 2023",8:00p,Phoenix Suns,,Chicago Bulls,,,,,United Center,
17,"Fri, Mar 3, 2023",8:00p,New York Knicks,,Miami Heat,,,,,FTX Arena,
18,"Fri, Mar 3, 2023",8:00p,Utah Jazz,,Oklahoma City Thunder,,,,,Paycom Center,
19,"Fri, Mar 3, 2023",10:00p,Memphis Grizzlies,,Denver Nuggets,,,,,Ball Arena,
20,"Fri, Mar 3, 2023",10:00p,New Orleans Pelicans,,Golden State Warriors,,,,,Chase Center,
21,"Fri, Mar 3, 2023",10:00p,Los Angeles Clippers,,Sacramento Kings,,,,,Golden 1 Center,
22,"Fri, Mar 3, 2023",10:30p,Minnesota Timberwolves,,Los Angeles Lakers,,,,,Crypto.com Arena,
