,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
4,"Wed, Nov 2, 2022",6:00p,Washington Wizards,121.0,Philadelphia 76ers,111.0,Box Score,,19855.0,Wells Fargo Center,
5,"Wed, Nov 2, 2022",7:30p,Boston Celtics,113.0,Cleveland Cavaliers,114.0,Box Score,OT,19432.0,Rocket Mortgage Fieldhouse,
6,"Wed, Nov 2, 2022",7:30p,Sacramento Kings,107.0,Miami Heat,110.0,Box Score,,19600.0,FTX Arena,
7,"Wed, Nov 2, 2022",7:30p,Atlanta Hawks,112.0,New York Knicks,99.0,Box Score,,19812.0,Madison Square Garden (IV),
8,"Wed, Nov 2, 2022",8:00p,Charlotte Hornets,88.0,Chicago Bulls,106.0,Box Score,,17886.0,United Center,
9,"Wed, Nov 2, 2022",8:00p,Los Angeles Clippers,109.0,Houston Rockets,101.0,Box Score,,15860.0,Toyota Center,
10,"Wed, Nov 2, 2022",8:00p,Detroit Pistons,91.0,Milwaukee Bucks,116.0,Box Score,,17341.0,Fiserv Forum,
11,"Wed, Nov 2, 2022",8:00p,Toronto Raptors,143.0,San Antonio Spurs,100.0,Box Score,,12155.0,AT&T Center,
12,"Wed, Nov 2, 2022",8:30p,Utah Jazz,100.0,Dallas Mavericks,103.0,Box Score,,19877.0,American Airlines Center,
13,"Wed, Nov 2, 2022",10:00p,Memphis Grizzlies,111.0,Portland Trail Blazers,106.0,Box Score,,19462.0,Moda Center,
14,"Wed, Nov 2, 2022",10:30p,New Orleans Pelicans,117.0,Los Angeles Lakers,120.0,Box Score,OT,18997.0,Crypto.com Arena,
