,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
84,"Tue, Dec 13, 2022",7:00p,Sacramento Kings,,Philadelphia 76ers,,,,,Wells Fargo Center,
85,"Tue, Dec 13, 2022",7:30p,Golden State Warriors,,Milwaukee Bucks,,,,,Fiserv Forum,
86,"Tue, Dec 13, 2022",8:00p,Phoenix Suns,,Houston Rockets,,,,,Toyota Center,
87,"Tue, Dec 13, 2022",9:00p,New Orleans Pelicans,,Utah Jazz,,,,,Vivint Arena,
88,"Tue, Dec 13, 2022",10:00p,Boston Celtics,,Los Angeles Lakers,,,,,Crypto.com Arena,
