,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
87,"Mon, Mar 13, 2023",7:00p,Indiana Pacers,,Detroit Pistons,,,,,Little Caesars Arena,
88,"Mon, Mar 13, 2023",7:30p,Minnesota Timberwolves,,Atlanta Hawks,,,,,State Farm Arena,
89,"Mon, Mar 13, 2023",7:30p,Memphis Grizzlies,,Dallas Mavericks,,,,,American Airlines Center,
90,"Mon, Mar 13, 2023",7:30p,Utah Jazz,,Miami Heat,,,,,FTX Arena,
91,"Mon, Mar 13, 2023",8:00p,Boston Celtics,,Houston Rockets,,,,,Toyota Center,
92,"Mon, Mar 13, 2023",10:00p,Phoenix Suns,,Golden State Warriors,,,,,Chase Center,
93,"Mon, Mar 13, 2023",10:00p,Milwaukee Bucks,,Sacramento Kings,,,,,Golden 1 Center,
