,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
113,"Sat, Dec 17, 2022",4:00p,Washington Wizards,,Los Angeles Clippers,,,,,Crypto.com Arena,
114,"Sat, Dec 17, 2022",5:00p,Miami Heat,,San Antonio Spurs,,,,,Mexico City Arena,
115,"Sat, Dec 17, 2022",8:00p,Dallas Mavericks,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
116,"Sat, Dec 17, 2022",8:00p,Portland Trail Blazers,,Houston Rockets,,,,,Toyota Center,
117,"Sat, Dec 17, 2022",8:00p,Utah Jazz,,Milwaukee Bucks,,,,,Fiserv Forum,
118,"Sat, Dec 17, 2022",8:00p,Memphis Grizzlies,,Oklahoma City Thunder,,,,,Paycom Center,
119,"Sat, Dec 17, 2022",9:00p,New Orleans Pelicans,,Phoenix Suns,,,,,Footprint Center,
