,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
12,"Sat, Dec 3, 2022",12:30p,Dallas Mavericks,,New York Knicks,,,,,Madison Square Garden (IV),
13,"Sat, Dec 3, 2022",4:00p,Sacramento Kings,,Los Angeles Clippers,,,,,Crypto.com Arena,
14,"Sat, Dec 3, 2022",6:00p,Milwaukee Bucks,,Charlotte Hornets,,,,,Spectrum Center,
15,"Sat, Dec 3, 2022",8:00p,Oklahoma City Thunder,,Minnesota Timberwolves,,,,,Target Center,
16,"Sat, Dec 3, 2022",8:00p,Orlando Magic,,Toronto Raptors,,,,,Scotiabank Arena,
17,"Sat, Dec 3, 2022",8:30p,Houston Rockets,,Golden State Warriors,,,,,Chase Center,
18,"Sat, Dec 3, 2022",9:00p,Portland Trail Blazers,,Utah Jazz,,,,,Vivint Arena,
