,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
0,"Wed, Feb 1, 2023",7:00p,Washington Wizards,,Detroit Pistons,,,,,Little Caesars Arena,
1,"Wed, Feb 1, 2023",7:00p,Portland Trail Blazers,,Memphis Grizzlies,,,,,FedEx Forum,
2,"Wed, Feb 1, 2023",7:00p,Orlando Magic,,Philadelphia 76ers,,,,,Wells Fargo Center,
3,"Wed, Feb 1, 2023",7:30p,Brooklyn Nets,,Boston Celtics,,,,,TD Garden,
4,"Wed, Feb 1, 2023",8:00p,Oklahoma City Thunder,,Houston Rockets,,,,,Toyota Center,
5,"Wed, Feb 1, 2023",8:00p,Golden State Warriors,,Minnesota Timberwolves,,,,,Target Center,
6,"Wed, Feb 1, 2023",8:00p,Sacramento Kings,,San Antonio Spurs,,,,,AT&T Center,
7,"Wed, Feb 1, 2023",9:00p,Toronto Raptors,,Utah Jazz,,,,,Vivint Arena,
8,"Wed, Feb 1, 2023",10:00p,Atlanta Hawks,,Phoenix Suns,,,,,Footprint Center,
