,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
66,"Fri, Feb 10, 2023",7:00p,San Antonio Spurs,,Detroit Pistons,,,,,Little Caesars Arena,
67,"Fri, Feb 10, 2023",7:00p,Phoenix Suns,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
68,"Fri, Feb 10, 2023",7:00p,New York Knicks,,Philadelphia 76ers,,,,,Wells Fargo Center,
69,"Fri, Feb 10, 2023",7:30p,Charlotte Hornets,,Boston Celtics,,,,,TD Garden,
70,"Fri, Feb 10, 2023",7:30p,Utah Jazz,,Toronto Raptors,,,,,Scotiabank Arena,
71,"Fri, Feb 10, 2023",8:00p,Minnesota Timberwolves,,Memphis Grizzlies,,,,,FedEx Forum,
72,"Fri, Feb 10, 2023",8:00p,Houston Rockets,,Miami Heat,,,,,FTX Arena,
73,"Fri, Feb 10, 2023",10:00p,Cleveland Cavaliers,,New Orleans Pelicans,,,,,Smoothie King Center,
74,"Fri, Feb 10, 2023",10:00p,Oklahoma City Thunder,,Portland Trail Blazers,,,,,Moda Center,
75,"Fri, Feb 10, 2023",10:00p,Dallas Mavericks,,Sacramento Kings,,,,,Golden 1 Center,
76,"Fri, Feb 10, 2023",10:30p,Milwaukee Bucks,,Los Angeles Clippers,,,,,Crypto.com Arena,
