,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
131,"Thu, Jan 19, 2023",3:00p,Chicago Bulls,,Detroit Pistons,,,,,AccorHotels Arena,
132,"Thu, Jan 19, 2023",7:30p,Golden State Warriors,,Boston Celtics,,,,,TD Garden,
133,"Thu, Jan 19, 2023",8:00p,Toronto Raptors,,Minnesota Timberwolves,,,,,Target Center,
134,"Thu, Jan 19, 2023",10:00p,Brooklyn Nets,,Phoenix Suns,,,,,Footprint Center,
135,"Thu, Jan 19, 2023",10:00p,Philadelphia 76ers,,Portland Trail Blazers,,,,,Moda Center,
