,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
203,"Wed, Mar 29, 2023",7:00p,Milwaukee Bucks,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
204,"Wed, Mar 29, 2023",7:30p,Houston Rockets,,Brooklyn Nets,,,,,Barclays Center,
205,"Wed, Mar 29, 2023",7:30p,Miami Heat,,New York Knicks,,,,,Madison Square Garden (IV),
206,"Wed, Mar 29, 2023",7:30p,Dallas Mavericks,,Philadelphia 76ers,,,,,Wells Fargo Center,
207,"Wed, Mar 29, 2023",8:00p,Los Angeles Lakers,,Chicago Bulls,,,,,United Center,
208,"Wed, Mar 29, 2023",8:00p,Los Angeles Clippers,,Memphis Grizzlies,,,,,FedEx Forum,
209,"Wed, Mar 29, 2023",8:00p,Detroit Pistons,,Oklahoma City Thunder,,,,,Paycom Center,
210,"Wed, Mar 29, 2023",8:00p,Utah Jazz,,San Antonio Spurs,,,,,AT&T Center,
211,"Wed, Mar 29, 2023",10:00p,Minnesota Timberwolves,,Phoenix Suns,,,,,Footprint Center,
212,"Wed, Mar 29, 2023",10:00p,Sacramento Kings,,Portland Trail Blazers,,,,,Moda Center,
