,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
154,"Fri, Dec 23, 2022",7:00p,San Antonio Spurs,,Orlando Magic,,,,,Amway Center,
155,"Fri, Dec 23, 2022",7:00p,Los Angeles Clippers,,Philadelphia 76ers,,,,,Wells Fargo Center,
156,"Fri, Dec 23, 2022",7:30p,Detroit Pistons,,Atlanta Hawks,,,,,State Farm Arena,
157,"Fri, Dec 23, 2022",7:30p,Minnesota Timberwolves,,Boston Celtics,,,,,TD Garden,
158,"Fri, Dec 23, 2022",7:30p,Milwaukee Bucks,,Brooklyn Nets,,,,,Barclays Center,
159,"Fri, Dec 23, 2022",7:30p,Toronto Raptors,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
160,"Fri, Dec 23, 2022",7:30p,Chicago Bulls,,New York Knicks,,,,,Madison Square Garden (IV),
161,"Fri, Dec 23, 2022",8:00p,Dallas Mavericks,,Houston Rockets,,,,,Toyota Center,
162,"Fri, Dec 23, 2022",8:00p,Indiana Pacers,,Miami Heat,,,,,FTX Arena,
163,"Fri, Dec 23, 2022",8:00p,New Orleans Pelicans,,Oklahoma City Thunder,,,,,Paycom Center,
164,"Fri, Dec 23, 2022",9:00p,Portland Trail Blazers,,Denver Nuggets,,,,,Ball Arena,
165,"Fri, Dec 23, 2022",10:00p,Memphis Grizzlies,,Phoenix Suns,,,,,Footprint Center,
166,"Fri, Dec 23, 2022",10:00p,Washington Wizards,,Sacramento Kings,,,,,Golden 1 Center,
167,"Fri, Dec 23, 2022",10:30p,Charlotte Hornets,,Los Angeles Lakers,,,,,Crypto.com Arena,
