,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
33,"Fri, Jan 6, 2023",7:00p,Portland Trail Blazers,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
34,"Fri, Jan 6, 2023",7:30p,Chicago Bulls,,Philadelphia 76ers,,,,,Wells Fargo Center,
35,"Fri, Jan 6, 2023",7:30p,New York Knicks,,Toronto Raptors,,,,,Scotiabank Arena,
36,"Fri, Jan 6, 2023",8:00p,Charlotte Hornets,,Milwaukee Bucks,,,,,Fiserv Forum,
37,"Fri, Jan 6, 2023",8:00p,Washington Wizards,,Oklahoma City Thunder,,,,,Paycom Center,
38,"Fri, Jan 6, 2023",8:00p,Detroit Pistons,,San Antonio Spurs,,,,,AT&T Center,
39,"Fri, Jan 6, 2023",8:30p,Brooklyn Nets,,New Orleans Pelicans,,,,,Smoothie King Center,
40,"Fri, Jan 6, 2023",9:00p,Cleveland Cavaliers,,Denver Nuggets,,,,,Ball Arena,
41,"Fri, Jan 6, 2023",9:00p,Los Angeles Clippers,,Minnesota Timberwolves,,,,,Target Center,
42,"Fri, Jan 6, 2023",10:00p,Miami Heat,,Phoenix Suns,,,,,Footprint Center,
43,"Fri, Jan 6, 2023",10:30p,Atlanta Hawks,,Los Angeles Lakers,,,,,Crypto.com Arena,
