,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
41,"Mon, Nov 7, 2022",7:00p,Washington Wizards,108.0,Charlotte Hornets,100.0,Box Score,,13712.0,Spectrum Center,
42,"Mon, Nov 7, 2022",7:15p,Houston Rockets,134.0,Orlando Magic,127.0,Box Score,,15441.0,Amway Center,
43,"Mon, Nov 7, 2022",7:30p,Oklahoma City Thunder,103.0,Detroit Pistons,112.0,Box Score,,16223.0,Little Caesars Arena,
44,"Mon, Nov 7, 2022",7:45p,New Orleans Pelicans,122.0,Indiana Pacers,129.0,Box Score,,14052.0,Gainbridge Fieldhouse,
45,"Mon, Nov 7, 2022",8:00p,Phoenix Suns,88.0,Philadelphia 76ers,100.0,Box Score,,20347.0,Wells Fargo Center,
46,"Mon, Nov 7, 2022",8:15p,Milwaukee Bucks,98.0,Atlanta Hawks,117.0,Box Score,,17494.0,State Farm Arena,
47,"Mon, Nov 7, 2022",8:30p,Portland Trail Blazers,110.0,Miami Heat,107.0,Box Score,,19600.0,FTX Arena,
48,"Mon, Nov 7, 2022",8:45p,Toronto Raptors,97.0,Chicago Bulls,111.0,Box Score,,21142.0,United Center,
49,"Mon, Nov 7, 2022",9:00p,Boston Celtics,109.0,Memphis Grizzlies,106.0,Box Score,,17371.0,FedEx Forum,
50,"Mon, Nov 7, 2022",9:15p,New York Knicks,120.0,Minnesota Timberwolves,107.0,Box Score,,14524.0,Target Center,
51,"Mon, Nov 7, 2022",9:30p,Denver Nuggets,115.0,San Antonio Spurs,109.0,Box Score,,11574.0,AT&T Center,
52,"Mon, Nov 7, 2022",9:45p,Brooklyn Nets,94.0,Dallas Mavericks,96.0,Box Score,,20011.0,American Airlines Center,
53,"Mon, Nov 7, 2022",10:00p,Sacramento Kings,113.0,Golden State Warriors,116.0,Box Score,,18064.0,Chase Center,
54,"Mon, Nov 7, 2022",10:15p,Los Angeles Lakers,116.0,Utah Jazz,139.0,Box Score,,18206.0,Vivint Arena,
55,"Mon, Nov 7, 2022",10:30p,Cleveland Cavaliers,117.0,Los Angeles Clippers,119.0,Box Score,,16516.0,Crypto.com Arena,
