,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
173,"Wed, Jan 25, 2023",7:00p,Indiana Pacers,,Orlando Magic,,,,,Amway Center,
174,"Wed, Jan 25, 2023",7:30p,Brooklyn Nets,,Philadelphia 76ers,,,,,Wells Fargo Center,
175,"Wed, Jan 25, 2023",8:00p,Washington Wizards,,Houston Rockets,,,,,Toyota Center,
176,"Wed, Jan 25, 2023",8:00p,Denver Nuggets,,Milwaukee Bucks,,,,,Fiserv Forum,
177,"Wed, Jan 25, 2023",8:00p,Minnesota Timberwolves,,New Orleans Pelicans,,,,,Smoothie King Center,
178,"Wed, Jan 25, 2023",8:00p,Atlanta Hawks,,Oklahoma City Thunder,,,,,Paycom Center,
179,"Wed, Jan 25, 2023",10:00p,Memphis Grizzlies,,Golden State Warriors,,,,,Chase Center,
180,"Wed, Jan 25, 2023",10:00p,Utah Jazz,,Portland Trail Blazers,,,,,Moda Center,
181,"Wed, Jan 25, 2023",10:00p,Toronto Raptors,,Sacramento Kings,,,,,Golden 1 Center,
182,"Wed, Jan 25, 2023",10:30p,San Antonio Spurs,,Los Angeles Lakers,,,,,Crypto.com Arena,
