,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
3,"Mon, Jan 2, 2023",3:00p,Phoenix Suns,,New York Knicks,,,,,Madison Square Garden (IV),
4,"Mon, Jan 2, 2023",7:00p,Los Angeles Lakers,,Charlotte Hornets,,,,,Spectrum Center,
5,"Mon, Jan 2, 2023",7:00p,Chicago Bulls,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
6,"Mon, Jan 2, 2023",7:00p,Toronto Raptors,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
7,"Mon, Jan 2, 2023",7:00p,New Orleans Pelicans,,Philadelphia 76ers,,,,,Wells Fargo Center,
8,"Mon, Jan 2, 2023",7:30p,San Antonio Spurs,,Brooklyn Nets,,,,,Barclays Center,
9,"Mon, Jan 2, 2023",8:00p,Dallas Mavericks,,Houston Rockets,,,,,Toyota Center,
10,"Mon, Jan 2, 2023",8:00p,Denver Nuggets,,Minnesota Timberwolves,,,,,Target Center,
11,"Mon, Jan 2, 2023",10:00p,Atlanta Hawks,,Golden State Warriors,,,,,Chase Center,
12,"Mon, Jan 2, 2023",10:00p,Detroit Pistons,,Portland Trail Blazers,,,,,Moda Center,
13,"Mon, Jan 2, 2023",10:30p,Miami Heat,,Los Angeles Clippers,,,,,Crypto.com Arena,
