,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
38,"Wed, Dec 7, 2022",7:00p,Los Angeles Clippers,,Orlando Magic,,,,,Amway Center,
39,"Wed, Dec 7, 2022",7:30p,Charlotte Hornets,,Brooklyn Nets,,,,,Barclays Center,
40,"Wed, Dec 7, 2022",7:30p,Atlanta Hawks,,New York Knicks,,,,,Madison Square Garden (IV),
41,"Wed, Dec 7, 2022",7:30p,Los Angeles Lakers,,Toronto Raptors,,,,,Scotiabank Arena,
42,"Wed, Dec 7, 2022",8:00p,Washington Wizards,,Chicago Bulls,,,,,United Center,
43,"Wed, Dec 7, 2022",8:00p,Oklahoma City Thunder,,Memphis Grizzlies,,,,,FedEx Forum,
44,"Wed, Dec 7, 2022",8:00p,Sacramento Kings,,Milwaukee Bucks,,,,,Fiserv Forum,
45,"Wed, Dec 7, 2022",8:00p,Indiana Pacers,,Minnesota Timberwolves,,,,,Target Center,
46,"Wed, Dec 7, 2022",8:00p,Detroit Pistons,,New Orleans Pelicans,,,,,Smoothie King Center,
47,"Wed, Dec 7, 2022",9:00p,Golden State Warriors,,Utah Jazz,,,,,Vivint Arena,
48,"Wed, Dec 7, 2022",10:00p,Boston Celtics,,Phoenix Suns,,,,,Footprint Center,
